execution	cohort	cohort_sort	dependence	dependence_sort	dependence_type	independence	model	model_sort	model_adjustment	model_context	model_note
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_albumin_female_premenopause_unadjust	64	64	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_albumin_female_perimenopause_adjust	65	65	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_albumin_female_perimenopause_unadjust	66	66	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_albumin_female_postmenopause_adjust	67	67	unadjust	marginal	unadjust marginal
1	female_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_albumin_female_postmenopause_unadjust	68	68	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_detection_male_adjust	1	1	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_detection_male_unadjust	2	2	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_detection_male_age_low_adjust	3	3	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_detection_male_age_low_unadjust	4	4	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_detection_male_age_middle_adjust	5	5	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_detection_male_age_middle_unadjust	6	6	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_detection_male_age_high_adjust	7	7	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_detection_male_age_high_unadjust	8	8	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_bioavailable_male_adjust	9	9	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_bioavailable_male_unadjust	10	10	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_bioavailable_male_age_low_adjust	11	11	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_bioavailable_male_age_low_unadjust	12	12	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_estradiol_bioavailable_male_age_middle_adjust	13	13	unadjust	marginal	unadjust marginal
