execution	cohort	cohort_sort	dependence	dependence_sort	dependence_type	independence	model	model_sort	model_adjustment	model_context	model_note
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_male_unadjust;age;body	14	14	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_male_age_low_adjust;age;body	15	15	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_male_age_low_unadjust;age;body	16	16	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_bioavailable_male_adjust;age;body	17	17	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_bioavailable_male_unadjust;age;body	18	18	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_bioavailable_male_age_low_adjust;age;body	19	19	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_bioavailable_male_age_low_unadjust;age;body	20	20	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_free_male_adjust;age;body	21	21	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_free_male_unadjust;age;body	22	22	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_free_male_age_low_adjust;age;body	23	23	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_testosterone_free_male_age_low_unadjust;age;body	24	24	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_shbg_male_adjust;age;body	25	25	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_shbg_male_unadjust;age;body	26	26	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_shbg_male_age_low_adjust;age;body	27	27	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_shbg_male_age_low_unadjust;age;body	28	28	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_albumin_male_adjust;age;body	29	29	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_albumin_male_unadjust;age;body	30	30	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_albumin_male_age_low_adjust;age;body	31	31	unadjust	marginal	unadjust marginal
1	male_bipolar_disorder	1	rapid_cycling	1	logistic	tcw_ukb_albumin_male_age_low_unadjust;age;body	32	32	unadjust	marginal	unadjust marginal
